BH4,50.7217,-1.90057
BH5,50.7257,-1.83704
BH6,50.7277,-1.80922
BH7,50.7345,-1.83414
BH8,50.7397,-1.85393
BH9,50.7498,-1.87481
BH10,50.7591,-1.89323
BH11,50.7612,-1.92076
BH12,50.738,-1.92462
BH13,50.7105,-1.91844
BH14,50.7223,-1.94568
BH15,50.7207,-1.9849
BH16,50.7384,-2.04439
BH17,50.7458,-1.97346
BH18,50.757,-1.99157
BH19,50.6115,-1.96992
BH20,50.6878,-2.14453
BH21,50.8175,-1.96508
BH22,50.806,-1.88911
BH23,50.7453,-1.7588
BH24,50.8462,-1.78783
BH25,50.7523,-1.65856
BH31,50.8753,-1.86976
BL0,53.6435,-2.31609
BL1,53.5889,-2.44058
BL2,53.5877,-2.3978
BL3,53.5661,-2.43192
BL4,53.5476,-2.40419
BL5,53.5509,-2.51699
BL6,53.5911,-2.54011
BL7,53.6281,-2.423
BL8,53.6016,-2.32324
BL9,53.5923,-2.2889
BL11,53.5723,-2.42538
BL78,53.5615,-2.40861
BN1,50.8373,-0.139946
BN2,50.8246,-0.107966
BN3,50.8344,-0.175361
BN4,50.8493,-0.256346
BN5,50.9239,-0.267897
BN6,50.9297,-0.15224
BN7,50.8784,0.00325035
BN8,50.9127,0.0507471
BN9,50.7952,0.0272981
BN10,50.7957,0.00213502
BN11,50.8137,-0.37543
BN12,50.8142,-0.426868
BN13,50.8304,-0.406692
BN14,50.8307,-0.380173
BN15,50.8301,-0.324837
BN16,50.8162,-0.497725
BN17,50.8154,-0.537157
BN18,50.8471,-0.583516
BN20,50.7741,0.25486
BN21,50.772,0.274821
BN22,50.7881,0.283238
BN23,50.7985,0.312713
BN24,50.8154,0.324472
BN25,50.7759,0.107441
BN26,50.8215,0.225532
BN27,50.8707,0.262787
BN41,50.8388,-0.214917
BN42,50.8367,-0.232048
BN43,50.8353,-0.268212
BN44,50.8928,-0.31865
BN45,50.8885,-0.183606
BN50,50.8261,-0.140753
BN51,50.8048,-0.058645
BN52,50.8339,-0.168039
BN88,50.8269,-0.140568
BN95,50.8232,-0.330024
BN99,50.8225,-0.350085
BR1,51.4107,0.0194591
BR2,51.3904,0.021637
BR3,51.4033,-0.031901
BR4,51.3756,-0.00998037
BR5,51.3892,0.102518
BR6,51.3678,0.092835
BR7,51.4118,0.0587545
BR8,51.3976,0.174972
BS0,51.3439,-2.95703
BS1,51.4539,-2.59214
BS2,51.459,-2.58098
BS3,51.4386,-2.60343
BS4,51.4364,-2.56461
BS5,51.4622,-2.55288
BS6,51.4701,-2.59809
BS7,51.4868,-2.58121
BS8,51.4574,-2.61935
BS9,51.4885,-2.62519
BS10,51.5062,-2.61176
BS11,51.4988,-2.67841
BS12,51.5555,-2.55897
BS13,51.412,-2.61141
BS14,51.4131,-2.56373
BS15,51.4549,-2.49633
BS16,51.4856,-2.51239
BS17,51.5289,-2.44224
BS18,51.3675,-2.58386
BS19,51.4075,-2.76988
BS20,51.4806,-2.75718
BS21,51.4363,-2.85133
BS22,51.3606,-2.92826
BS23,51.3435,-2.96923
BS24,51.3317,-2.92419
BS25,51.321,-2.82645
BS26,51.2804,-2.85043
BS27,51.2729,-2.77326
BS28,51.2272,-2.81527
BS29,51.3322,-2.87706
BS30,51.4464,-2.4753
BS31,51.4098,-2.49338
BS32,51.5415,-2.56105
BS34,51.5249,-2.56709
BS35,51.5976,-2.54727
BS36,51.5261,-2.48794
BS37,51.5412,-2.41875
BS39,51.3281,-2.53284
BS40,51.3471,-2.69389
BS41,51.4236,-2.65472
BS48,51.4265,-2.74982
BS49,51.3828,-2.81616
BS77,51.4387,-2.60153
BS80,51.5035,-2.61308
BS98,51.4594,-2.58461
BS99,51.4578,-2.57537
BT1,54.5995,-5.92844
BT2,54.5934,-5.93069
BT3,54.6179,-5.90576
BT4,54.6027,-5.86826
BT5,54.5886,-5.87388
BT6,54.5808,-5.89838
BT7,54.5833,-5.92495
BT8,54.5448,-5.90794
BT9,54.5723,-5.95011
BT10,54.5599,-5.98672
BT11,54.5764,-5.99815
BT12,54.5924,-5.95637
BT13,54.6057,-5.95839
BT14,54.6211,-5.96239
BT15,54.6219,-5.93167
BT16,54.5908,-5.79796
BT17,54.5532,-6.01976
BT18,54.6404,-5.8238
BT19,54.6507,-5.65779
BT20,54.659,-5.66556
BT21,54.6413,-5.54781
BT22,54.5039,-5.51529
BT23,54.5717,-5.70744
BT24,54.4178,-5.87192
BT25,54.3964,-6.11508
BT26,54.4543,-6.06517
BT27,54.509,-6.02465
BT28,54.522,-6.08419
BT29,54.6208,-6.19757
BT30,54.3335,-5.70301
BT31,54.2762,-5.96815
BT32,54.3362,-6.24738
BT33,54.2235,-5.89069
BT34,54.1532,-6.18173
BT35,54.165,-6.43877
BT36,54.6781,-5.95977
BT37,54.6763,-5.90854
BT38,54.7289,-5.80085
BT39,54.7448,-6.01901
BT40,54.8467,-5.82291
BT41,54.7309,-6.25171
BT42,54.8548,-6.27698
BT43,54.8895,-6.26669
BT44,54.973,-6.28448
BT45,54.7596,-6.63846
BT46,54.8654,-6.66306
